               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093659,            0.022368,            0.081841,                   0,                   0,                   0,                   0,            0.057302,            0.012929,            0.059423,            0.070316,           0.0032982,           0.0032982
                   1,             0.07784,            0.023646,             0.08172,          9.2455e-05,             0.01511,          6.1028e-05,          6.1028e-06,            0.057446,            0.011984,            0.063188,             0.04025,           0.0065659,           0.0065659
